Token,Length,Frequency
a,1,83
an,2,82
agus,4,74
chun,4,42
uile,4,32
ar,2,31
gach,4,30
ag,2,30
go,2,28
i,1,27
dhuine,6,26
Airteagal,9,26
na,2,24
Tá,2,22
ceart,5,22
nó,2,19
do,2,18
duine,5,16
is,2,14
le,2,14
aon,3,14
ná,2,12
sin,3,12
saoirse,7,12
ina,3,10
Ní,2,10
don,3,9
in,2,9
aige,4,8
déanfar,7,8
gan,3,8
eile,4,8
é,1,7
bith,4,7
de,2,7
dlí,3,7
féin,4,7
ó,1,6
atá,3,6
den,3,6
maidir,6,6
sa,2,6
oideachas,9,6
De,2,5
acu,3,5
mar,3,5
faoi,4,5
Bhrí,4,5
seo,3,5
náisiúnta,9,5
cearta,6,5
chearta,7,5
leis,4,5
lena,4,5
eadarnáisiúnta,14,4
réir,4,4
daoine,6,4
bhfuil,6,4
náisiúntacht,12,4
chomhdhaonnacht,15,4
dá,2,4
ní,2,4
saoirsí,7,4
trí,3,4
as,2,4
bheith,6,4
críoch,6,4
Is,2,4
mbeidh,6,4
Stát,4,4
phoiblí,7,3
linn,4,3
thabhairt,9,3
d'fháil,7,3
háirithe,8,3
choiteann,9,3
slándála,8,3
urraim,6,3
bunaidh,7,3
gá,2,3
sé,2,3
Aontaithe,9,3
thír,4,3
chéile,6,3
réim,4,3
no,2,3
gcoinne,7,3
cóir,4,3
tá,2,3
mhaireachtana,13,3
gníomhartha,11,3
gcearta,7,3
pósadh,6,3
pé,2,3
t,1,3
leithcheal,10,3
bunúsacha,9,3
leith,5,3
pobal,5,3
air,3,3
idirdhealú,10,3
gur,3,3
d'athrú,7,3
gabháil,7,3
tríd,4,3
dhóibh,6,3
oibre,5,3
comhionanna,11,2
coimirce,8,2
iad,3,2
bhunú,5,2
cine,4,2
tabhairt,8,2
creideamh,9,2
cheart,6,2
mhoghsaine,10,2
gceart,6,2
neamhspleách,12,2
céanna,6,2
aithint,7,2
Bhéarfar,8,2
chuing,6,2
bhéarfas,8,2
ndínit,6,2
fós,3,2
foras,5,2
gurb,4,2
comhionann,10,2
bhaint,6,2
dheimhne,8,2
phósta,6,2
tráth,5,2
n,1,2
ghlacadh,8,2
thoradh,7,2
gcomhar,7,2
gcomhionannas,13,2
leanbh,6,2
toil,4,2
chosaint,8,2
daonna,6,2
dífhostaíochta,14,2
cónaithe,8,2
dúchais,7,2
ionad,5,2
shóisialach,11,2
chríoch,7,2
